,accuracy,formatted_address,google_place_id,input_string,latitude,longitude,number_of_results,postcode,status,type
0,APPROXIMATE,"Turin, Metropolitan City of Turin, Italy",ChIJJb4YZBJtiEcRv3ec1gP4A4k,"Non Disponibile, TORINO, Italia",45.070312,7.686856499999999,1,,OK,"locality,political"
1,APPROXIMATE,"Turin, Metropolitan City of Turin, Italy",ChIJJb4YZBJtiEcRv3ec1gP4A4k,"Non Disponibile, TORINO, Italia",45.070312,7.686856499999999,1,,OK,"locality,political"
2,APPROXIMATE,"Turin, Metropolitan City of Turin, Italy",ChIJJb4YZBJtiEcRv3ec1gP4A4k,"Non Disponibile, TORINO, Italia",45.070312,7.686856499999999,1,,OK,"locality,political"
3,ROOFTOP,"Via Gaspare Gorresio, 13, 10149 Torino TO, Italy",ChIJN_5k7jVsiEcRlUwUQEJEg8M,"VIA GORRESIO, 13, TORINO, Italia",45.0998603,7.6572,1,10149,OK,street_address
4,ROOFTOP,"Via Domenico Guidobono, 2, 10137 Torino TO, Italy",ChIJ9eux2UgTiEcRHdcyjUZOH_0,"VIA GUIDOBONO, 2, TORINO, Italia",45.0381925,7.6181788,1,10137,OK,street_address
5,ROOFTOP,"Via Lanzo, 146, 10148 Torino TO, Italy",ChIJ45GaJihsiEcRUBlf2SC0PkI,"STRADA DI LANZO, 146, TORINO, Italia",45.1176959,7.6573055,1,10148,OK,street_address
6,ROOFTOP,"Via Venarìa, 79, 10148 Torino TO, Italy",ChIJ9ZGWei5siEcR-lYQg_ML7A4,"VIA VENARIA 79/15, TORINO, Italia",45.11028,7.6584,1,10148,OK,street_address
7,ROOFTOP,"Via Lanzo, 28, 10148 Torino TO, Italy",ChIJ5f20rJ1uiEcRbCy6_iGu_7g,"VIA LANZO 28, TORINO, Italia",45.1205749,7.652961599999999,2,10148,OK,street_address
8,ROOFTOP,"Via Venarìa, 100, 10148 Torino TO, Italy",ChIJa_2Vwi5siEcR1Ah9TZIofOs,"VIA VENARIA, 100, TORINO, Italia",45.1121079,7.657483699999999,1,10148,OK,street_address
9,ROOFTOP,"Via Alfonso Badini Confalonieri, 74, 10148 Torino TO, Italy",ChIJ4ZV-FS5siEcRHHHNFGTHEsQ,"VIA BADINI CONFALONIERI N. 74, TORINO, Italia",45.1095742,7.657427,1,10148,OK,street_address
10,ROOFTOP,"Via Lanzo, 147, 10148 Torino TO, Italy",ChIJF1-2silsiEcRf5e8s9oo45k,"STRADA DI LANZO 147/11, TORINO, Italia",45.1162072,7.6578266,1,10148,OK,street_address
11,ROOFTOP,"Via Lanzo, 147, 10148 Torino TO, Italy",ChIJF1-2silsiEcRf5e8s9oo45k,"STRADA LANZO 147/11, TORINO, Italia",45.1162072,7.6578266,1,10148,OK,street_address
12,ROOFTOP,"Via Ettore Stampini, 25, 10148 Torino TO, Italy",ChIJazjlQi1siEcRQy1a_uwR-KE,"VIA   STAMPINI, 25, TORINO, Italia",45.1090128,7.6629065,1,10148,OK,street_address
13,ROOFTOP,"Via Giuseppe Romita, 19, 10137 Torino TO, Italy",ChIJ3z9zccpsiEcRV-lDHkG0lwM,"VIA ROMITA 19, TORINO, Italia",45.0480534,7.626065400000001,1,10137,OK,premise
14,ROOFTOP,"Via Gianfrancesco Fiochetto, 29, 10152 Torino TO, Italy",ChIJiQvbxXltiEcRILTYmooc4RI,"VIA FIOCHETTO 29, TORINO, Italia",45.075957,7.688963699999999,1,10152,OK,street_address
15,ROOFTOP,"Via Masserano, 4, 10152 Torino TO, Italy",ChIJKw9VNKdtiEcRGbir9zObLos,"VIA MASSERANO 4, TORINO, Italia",45.0806396,7.6732479,1,10152,OK,street_address
16,ROOFTOP,"Via Montevideo, 11, 10134 Torino TO, Italy",ChIJifUyv9ESiEcR_2Vw_6mY6Fs,"VIA MONTEVIDEO 11, TORINO, Italia",45.0364333,7.6541771,1,10134,OK,premise
17,RANGE_INTERPOLATED,"Via Gaetano Mosca, 11, 10147 Torino TO, Italy",Ei5WaWEgR2FldGFubyBNb3NjYSwgMTEsIDEwMTQ3IFRvcmlubyBUTywgSXRhbGlhIhoSGAoUChIJqepInsZtiEcRwaLz7IMnq0UQCw,"VIA MOSCA 11, TORINO, Italia",45.1027906,7.677369199999998,1,10147,OK,street_address
18,ROOFTOP,"Corso Grosseto, 112, 10148 Torino TO, Italy",ChIJ74SqV8RtiEcRoDZyCAjZXFc,"CORSO GROSSETO N. 112, TORINO, Italia",45.1047851,7.677618999999999,1,10148,OK,street_address
19,ROOFTOP,"Via Casteldelfino, 30, 10147 Torino TO, Italy",ChIJoeddY8htiEcRx2w-2gCzKWw,"VIA CASTELDELFINO 30, TORINO, Italia",45.1010479,7.6725463,1,10147,OK,street_address
20,ROOFTOP,"Via Baltimora, 171, 10136 Torino TO, Italy",ChIJLTz59stsiEcRSEFTDikvsjA,"VIA BALTIMORA 171, TORINO, Italia",45.04848639999999,7.6310655,1,10136,OK,street_address
21,ROOFTOP,"Via Bligny, 1, 10122 Torino TO, Italy",ChIJxagnXgttiEcRsJVVL3dUToU,"VIA BLIGNY 1 BIS, TORINO, Italia",45.0749127,7.6759051,1,10122,OK,street_address
22,ROOFTOP,"Via Bligny, 1, 10122 Torino TO, Italy",ChIJxagnXgttiEcRsJVVL3dUToU,"VIA BLIGNY 1 BIS, TORINO, Italia",45.0749127,7.6759051,1,10122,OK,street_address
23,ROOFTOP,"Via Michele Antonio Vibò, 62, 10147 Torino TO, Italy",ChIJEwMmTLhtiEcROPApSw6ztUE,"VIA VIBO' 62, TORINO, Italia",45.09596,7.673769999999999,1,10147,OK,street_address
24,ROOFTOP,"Via Giacinto Pacchiotti, 102, 10146 Torino TO, Italy",ChIJSTxvz4hsiEcR-LBUgm7svrM,"VIA PACCHIOTTI, 102, TORINO, Italia",45.07840239999999,7.624399899999998,1,10146,OK,street_address
25,ROOFTOP,"Via Giacinto Pacchiotti, 102, 10146 Torino TO, Italy",ChIJSTxvz4hsiEcR-LBUgm7svrM,"VIA PACCHIOTTI 102, TORINO, Italia",45.07840239999999,7.624399899999998,1,10146,OK,street_address
26,ROOFTOP,"Corso Enrico Tazzoli, 215, 10137 Torino TO, Italy",ChIJLYU3L0YTiEcR4T_44g-BXyU,"CORSO TAZZOLI, 215/1, TORINO, Italia",45.0360447,7.617101099999999,1,10137,OK,street_address
27,ROOFTOP,"Via Domodossola, 54, 10145 Torino TO, Italy",ChIJDTuCzPdsiEcR5qaPgDKOzKU,"VIA DOMODOSSOLA, 54, TORINO, Italia",45.0803407,7.6428717,1,10145,OK,street_address
28,ROOFTOP,"Via Carlo Lorenzini, 4, 10147 Torino TO, Italy",ChIJnVHmJ8dtiEcRCiyeYNHcMjs,"VIA LORENZINI, 4, TORINO, Italia",45.0999868,7.677997799999999,1,10147,OK,premise
29,ROOFTOP,"Via Fratelli Passoni, 9, 10146 Torino TO, Italy",ChIJV1sG_31siEcRYoiAekwGQFE,"VIA PASSONI 9, TORINO, Italia",45.083063,7.6182428,1,10146,OK,street_address
30,ROOFTOP,"Corso Orbassano, 155, 10136 Torino TO, Italy",ChIJRUeaDNVsiEcR3RL13RIE72I,"C.SO ORBASSANO,155/A, TORINO, Italia",45.04558919999999,7.6456827,1,10136,OK,street_address
31,ROOFTOP,"Corso Orbassano, 155, 10136 Torino TO, Italy",ChIJRUeaDNVsiEcR3RL13RIE72I,"C.SO ORBASSANO,155, TORINO, Italia",45.04558919999999,7.6456827,1,10136,OK,street_address
32,ROOFTOP,"Via Baltimora, 76, 10137 Torino TO, Italy",ChIJ4wTOZ9NsiEcR-Q0VRs7QkCo,"VIA BALTIMORA 76, TORINO, Italia",45.04526329999999,7.640930300000001,1,10137,OK,street_address
33,ROOFTOP,"Via Arcangelo Corelli, 4, 10154 Torino TO, Italy",ChIJs8AN8HRyiEcRlp32OJVGnh4,"VIA CORELLI 4, TORINO, Italia",45.0939018,7.7083016,1,10154,OK,premise
34,ROOFTOP,"Via Arcangelo Corelli, 4, 10154 Torino TO, Italy",ChIJs8AN8HRyiEcRlp32OJVGnh4,"VIA CORELLI 4, TORINO, Italia",45.0939018,7.7083016,1,10154,OK,premise
35,ROOFTOP,"Via Monte Rosa, 165, 10154 Torino TO, Italy",ChIJBYFwC_RtiEcRmCAwn5cZ73A,"VIA MONTEROSA 165, TORINO, Italia",45.0998388,7.7009791,1,10154,OK,street_address
36,ROOFTOP,"Piazza Giuseppe Cesare Abba, 13, 10154 Torino TO, Italy",ChIJC76TEHJyiEcREcuEyhoDnt4,"PIAZZA ABBA 13, TORINO, Italia",45.0912387,7.714374599999999,1,10154,OK,street_address
37,ROOFTOP,"Via del Carmine, 27, 10122 Torino TO, Italy",ChIJbVfbeAltiEcRdL390Z_wqfI,"VIA DEL CARMINE 27, TORINO, Italia",45.0769043,7.671907600000001,1,10122,OK,street_address
38,ROOFTOP,"Via del Carmine, 27, 10122 Torino TO, Italy",ChIJbVfbeAltiEcRdL390Z_wqfI,"VIA DEL CARMINE 27, TORINO, Italia",45.0769043,7.671907600000001,1,10122,OK,street_address
39,ROOFTOP,"Corso Giacomo Matteotti, 6, 10121 Torino TO, Italy",ChIJvVuoYmxtiEcRWR54JL6xdKw,"CORSO MATTEOTTI 6, TORINO, Italia",45.065714,7.677249,1,10121,OK,street_address
40,ROOFTOP,"Via Sebastiano Beato Valfrè, 8, 10121 Torino TO, Italy",ChIJ9Zno5A1tiEcR6hYF9bEQOvA,"VIA VALFRE' 8, TORINO, Italia",45.0706961,7.671148000000001,1,10121,OK,street_address
41,ROOFTOP,"Via Madama Cristina, 102, 10126 Torino TO, Italy",ChIJSe63TEltiEcRX0QrQgdzuNA,"VIA MADAMA CRISTINA 102, TORINO, Italia",45.04707,7.67542,1,10126,OK,street_address
42,ROOFTOP,"Via Madama Cristina, 102, 10126 Torino TO, Italy",ChIJSe63TEltiEcRX0QrQgdzuNA,"VIA MADAMA CRISTINA 102, TORINO, Italia",45.04707,7.67542,1,10126,OK,street_address
43,ROOFTOP,"Via Nuova, 2, 10133 Torino TO, Italy",ChIJ55pSd1gNiEcRNpGSTgilQLc,"VIA NUOVA 2, TORINO, Italia",45.02970699999999,7.687916599999999,1,10133,OK,street_address
44,ROOFTOP,"Via Aquileia, 8, 10133 Torino TO, Italy",ChIJsa1V1VJtiEcRFSpHdZdKFps,"VIA AQUILEIA 8, TORINO, Italia",45.04115410000001,7.682525900000001,1,10133,OK,street_address
45,ROOFTOP,"Via Bologna, 153, 10154 Torino TO, Italy",ChIJF1R7bXdyiEcRrcFNx3-U6gM,"VIA BOLOGNA, 153, TORINO, Italia",45.0880437,7.706240599999999,1,10154,OK,street_address
46,ROOFTOP,"Corso Giulio Cesare, 26, 10152 Torino TO, Italy",ChIJQZnvf5ttiEcRjwsINFPIAgU,"CORSO GIULIO CESARE, 26, TORINO, Italia",45.08301789999999,7.688000499999999,1,10152,OK,street_address
47,ROOFTOP,"Str. Castello di Mirafiori, 55, 10135 Torino TO, Italy",ChIJ56myMwQTiEcRq21pQFo-WXU,"STRADA CASTELLO DI MIRAFIORI, 55, TORINO, Italia",45.0124989,7.630178799999999,1,10135,OK,street_address
48,ROOFTOP,"Corso Moncalieri, 400, 10133 Torino TO, Italy",ChIJKaYX6qISiEcRifFH67M0Kfs,"CORSO MONCALIERI 400, TORINO, Italia",45.0239966,7.6752353,1,10133,OK,street_address
49,ROOFTOP,"Corso Vercelli, 157, 10155 Torino TO, Italy",ChIJEx69Gu1tiEcR_ND2qmbp2rw,"CORSO VERCELLI 157, TORINO, Italia",45.0984465,7.6927694,1,10155,OK,street_address
50,ROOFTOP,"Corso Vercelli, 157, 10155 Torino TO, Italy",ChIJEx69Gu1tiEcR_ND2qmbp2rw,"CORSO VERCELLI 157, TORINO, Italia",45.0984465,7.6927694,1,10155,OK,street_address
51,ROOFTOP,"Corso Vercelli, 141, 10155 Torino TO, Italy",ChIJ5RBRL-1tiEcRUMlv1hOha1I,"CORSO VERCELLI 141/8, TORINO, Italia",45.09735879999999,7.692191399999999,1,10155,OK,premise
52,ROOFTOP,"Corso Sebastopoli, 258, 10136 Torino TO, Italy",ChIJtaPYCNJsiEcR71WQC5B1mcE,"CORSO SEBASTOPOLI 258, TORINO, Italia",45.0481181,7.637331799999999,1,10136,OK,street_address
53,ROOFTOP,"Corso Sebastopoli, 258, 10136 Torino TO, Italy",ChIJtaPYCNJsiEcR71WQC5B1mcE,"CORSO SEBASTOPOLI 258, TORINO, Italia",45.0481181,7.637331799999999,1,10136,OK,street_address
54,ROOFTOP,"Via Ada Negri, 21, 10036 Settimo Torinese TO, Italy",ChIJ7zOnfgBxiEcRu-fr6nNdr8o,"VIA A. NEGRI, 21, TORINO, Italia",45.14613,7.76408,1,10036,OK,street_address
55,ROOFTOP,"Via Tofane, 28, 10141 Torino TO, Italy",ChIJY4ajCOtsiEcRnHy55LLA02E,"VIA TOFANE 28, TORINO, Italia",45.0663197,7.633762000000001,1,10141,OK,street_address
56,ROOFTOP,"Via Lussimpiccolo, 36, 10141 Torino TO, Italy",ChIJky4ycNlsiEcRj2-KMzViZUw,"VIA LUSSIMPICCOLO 36/A, TORINO, Italia",45.0558742,7.6452294,1,10141,OK,street_address
57,ROOFTOP,"Via Giuseppe Romita, 19, 10137 Torino TO, Italy",ChIJ3z9zccpsiEcRV-lDHkG0lwM,"VIA ROMITA 19, TORINO, Italia",45.0480534,7.626065400000001,1,10137,OK,premise
58,RANGE_INTERPOLATED,"Via Vittorio Bersezio, 11, 10152 Torino TO, Italy",EjJWaWEgVml0dG9yaW8gQmVyc2V6aW8sIDExLCAxMDE1MiBUb3Jpbm8gVE8sIEl0YWxpYSIaEhgKFAoSCZHdhKqFbYhHEdTtmV3kGydKEAs,"VIA BERSEZIO, 11, TORINO, Italia",45.0851778,7.693704400000001,1,10152,OK,street_address
59,ROOFTOP,"Via Beinasco, 34, 10152 Torino TO, Italy",ChIJu3gp2qJtiEcRn8nC1-Srpuo,"VIA BEINASCO 34, TORINO, Italia",45.0878337,7.678016599999999,1,10152,OK,street_address
60,APPROXIMATE,"Turin, Metropolitan City of Turin, Italy",ChIJJb4YZBJtiEcRv3ec1gP4A4k,"Non Disponibile, TORINO, Italia",45.070312,7.686856499999999,1,,OK,"locality,political"
61,ROOFTOP,"Via Giorgio Bidone, 11, 10125 Torino TO, Italy",ChIJ21cg1EVtiEcRUbhK5TQhUGc,"VIA BIDONE 11, TORINO, Italia",45.0529957,7.6772984,1,10125,OK,street_address
62,ROOFTOP,"Via Michele Antonio Vibò, 62, 10147 Torino TO, Italy",ChIJEwMmTLhtiEcROPApSw6ztUE,"VIA VIBO' 62, TORINO, Italia",45.09596,7.673769999999999,1,10147,OK,street_address
63,ROOFTOP,"Via Tofane, 28, 10141 Torino TO, Italy",ChIJY4ajCOtsiEcRnHy55LLA02E,"VIA TOFANE 28, TORINO, Italia",45.0663197,7.633762000000001,1,10141,OK,street_address
64,RANGE_INTERPOLATED,"Corso Luigi Maria d'Albertis, 22, 10141 Torino TO, Italy",EjlDb3JzbyBMdWlnaSBNYXJpYSBkJ0FsYmVydGlzLCAyMiwgMTAxNDEgVG9yaW5vIFRPLCBJdGFsaWEiGhIYChQKEglzkJbwwGyIRxHruVOvBF4M2xAW,"VIA D' ALBERTIS 22, TORINO, Italia",45.0604604,7.6303855,1,10141,OK,street_address
65,ROOFTOP,"Via Lussimpiccolo, 36, 10141 Torino TO, Italy",ChIJky4ycNlsiEcRj2-KMzViZUw,"VIA LUSSIMPICCOLO 36/A, TORINO, Italia",45.0558742,7.6452294,1,10141,OK,street_address
66,ROOFTOP,"Via Augusto Berta, 15, 10141 Torino TO, Italy",ChIJu20y_SBtiEcR4Rw-1mFy-tY,"VIA BERTA 15, TORINO, Italia",45.0588992,7.6534206,1,10141,OK,street_address
67,ROOFTOP,"Via Giovanni Randaccio, 60, 10147 Torino TO, Italy",ChIJx0KbxcFtiEcRg-Kya9Vzua8,"VIA RANDACCIO 60, TORINO, Italia",45.1003506,7.683380499999999,1,10147,OK,street_address
68,ROOFTOP,"Corso Peschiera, 380, 10139 Torino TO, Italy",ChIJg6skPo5siEcRJB4Bk9Pu64A,"CORSO PESCHIERA 380, TORINO, Italia",45.0740223,7.6259525,1,10139,OK,street_address
69,ROOFTOP,"Corso Peschiera, 380, 10139 Torino TO, Italy",ChIJg6skPo5siEcRJB4Bk9Pu64A,"CORSO PESCHIERA 380, TORINO, Italia",45.0740223,7.6259525,1,10139,OK,street_address
70,ROOFTOP,"Via Onorato Castellino, 10, 10141 Torino TO, Italy",ChIJa3jaVZNsiEcR2VNXZXYoy-0,"VIA O. CASTELLINO, 10, TORINO, Italia",45.0681187,7.6306783,1,10141,OK,premise
71,ROOFTOP,"Via Paolo Braccini, 63, 10141 Torino TO, Italy",ChIJRdKOo99siEcRco390YXK6uU,"VIA BRACCINI 63, TORINO, Italia",45.0601276,7.6493964,1,10141,OK,street_address
72,ROOFTOP,"Via Giuseppe Talucchi, 19, 10143 Torino TO, Italy",ChIJ14tNJwFtiEcRcBybd2l7V-0,"VIA TALUCCHI 19, TORINO, Italia",45.0777551,7.660380999999999,1,10143,OK,street_address
73,ROOFTOP,"Via Finalmarina, 5, 10126 Torino TO, Italy",ChIJFdEaf7cSiEcRyb2fFtUzxJ4,"VIA FINALMARINA 5, TORINO, Italia",45.0327218,7.669025100000001,1,10126,OK,premise
74,ROOFTOP,"Piazza Polonia, 94, 10126 Torino TO, Italy",ChIJe8lOALESiEcRoFBfxcicclo,"LARGO POLONIA 94, TORINO, Italia",45.03449759999999,7.6747722,1,10126,OK,premise
75,ROOFTOP,"Via Nizza, 395, 10127 Torino TO, Italy",ChIJdT1GTZMSiEcREJGaCouN_zw,"VIA NIZZA 395, TORINO, Italia",45.0182041,7.662212299999998,1,10127,OK,street_address
76,ROOFTOP,"Via Ventimiglia, 128, 10127 Torino TO, Italy",ChIJbW7MY74SiEcRhTBwChkpLv0,"VIA VENTIMIGLIA 128, TORINO, Italia",45.02544,7.668649999999999,1,10127,OK,street_address
77,ROOFTOP,"Str. di S. Mauro, 32, 10156 Torino TO, Italy",ChIJR2sEbhZyiEcR5wwvUYtrK7I,"STRADA SAN MAURO 32, TORINO, Italia",45.0997414,7.7270179,1,10156,OK,street_address
78,RANGE_INTERPOLATED,"Via Martino Anglesio, 17, 10156 Torino TO, Italy",EjFWaWEgTWFydGlubyBBbmdsZXNpbywgMTcsIDEwMTU2IFRvcmlubyBUTywgSXRhbGlhIhoSGAoUChIJLY2quSJyiEcRa58rVzUAymYQEQ,"VIA M. ANGLESIO 17, TORINO, Italia",45.1042728,7.731226299999999,1,10156,OK,street_address
79,ROOFTOP,"Strada Comunale di Bertolla, 50, 10156 Torino TO, Italy",ChIJ9xMrDDFyiEcRYo-hxYD6s0Q,"STRADA BERTOLLA 50, TORINO, Italia",45.0999014,7.7438798,1,10156,OK,street_address
80,ROOFTOP,"Via Carlo Vidua, 1, 10144 Torino TO, Italy",ChIJYXbZXaptiEcRhhcue6wLPwk,"VIA VIDUA 1, TORINO, Italia",45.08104669999999,7.660941800000001,1,10144,OK,street_address
81,ROOFTOP,"Via Carlo Capelli, 51, 10146 Torino TO, Italy",ChIJ0VdkKotsiEcRotozC1XyNYk,"VIA CAPELLI 51, TORINO, Italia",45.079577,7.6337547,1,10146,OK,street_address
82,ROOFTOP,"Corso Monte Grappa, 81, 10146 Torino TO, Italy",ChIJLS6Ea19siEcR9EDdK1U51VE,"CORSO MONTE GRAPPA 81, TORINO, Italia",45.0830834,7.6386715,1,10146,OK,street_address
83,ROOFTOP,"Via Zumaglia, 41, 10145 Torino TO, Italy",ChIJV0etwfdsiEcRV0YZL1mY01U,"VIA ZUMAGLIA 41, TORINO, Italia",45.08028729999999,7.6436971,1,10145,OK,street_address
84,ROOFTOP,"Via Ignazio Collino, 12, 10137 Torino TO, Italy",ChIJybPzFzYTiEcRAVXerWh38uQ,"VIA COLLINO 12, TORINO, Italia",45.039651,7.623141400000001,1,10137,OK,street_address
85,ROOFTOP,"Via S. Remo, 46, 10137 Torino TO, Italy",ChIJlTXtkyUTiEcR5BraMMd0Q3U,"VIA SAN REMO 46, TORINO, Italia",45.033936,7.6368373,1,10137,OK,street_address
86,ROOFTOP,"Via Cavagnolo, 35, 10156 Torino TO, Italy",ChIJ5esT9QBuiEcREVNX4Cpn41A,"VIA CAVAGNOLO, 35, TORINO, Italia",45.1160496,7.7072341,1,10156,OK,street_address
87,ROOFTOP,"Via Tommaso Vallauri, 24, 10155 Torino TO, Italy",ChIJf3L4P_BtiEcRlJWlGVXjXqE,"VIA VALLAURI 24, TORINO, Italia",45.1045934,7.698010099999999,1,10155,OK,street_address
88,ROOFTOP,"Via Cavagnolo, 35, 10156 Torino TO, Italy",ChIJ5esT9QBuiEcREVNX4Cpn41A,"VIA CAVAGNOLO 35, TORINO, Italia",45.1160496,7.7072341,1,10156,OK,street_address
89,ROOFTOP,"Via Campobasso, 11, 10155 Torino TO, Italy",ChIJk-ldIfttiEcRs7Zquo8zGy0,"VIA CAMPOBASSO, 11, TORINO, Italia",45.10837000000001,7.698720000000001,1,10155,OK,street_address
90,ROOFTOP,"Via Santhià, 25, 10154 Torino TO, Italy",ChIJz50-kY5tiEcRoSGvUzUrQds,"VIA SANTHIA, 25, TORINO, Italia",45.0909991,7.696663099999999,1,10154,OK,street_address
91,RANGE_INTERPOLATED,"Via Antonio Banfo, 32, 10155 Torino TO, Italy",Ei5WaWEgQW50b25pbyBCYW5mbywgMzIsIDEwMTU1IFRvcmlubyBUTywgSXRhbGlhIhoSGAoUChIJzcWjtpZtiEcR4GJox29aCsAQIA,"VIA BANFO, 32, TORINO, Italia",45.091546,7.6870812,1,10155,OK,street_address
92,ROOFTOP,"Corso Guglielmo Marconi, 28, 10125 Torino TO, Italy",ChIJCxBcYUNtiEcRwfvCOZKiXzU,"CORSO MARCONI 28, TORINO, Italia",45.0554692,7.681584099999999,1,10125,OK,street_address
93,RANGE_INTERPOLATED,"Via Negarville, 30, 10135 Torino TO, Italy",EitWaWEgTmVnYXJ2aWxsZSwgMzAsIDEwMTM1IFRvcmlubyBUTywgSXRhbGlhIhoSGAoUChIJb3dblG4TiEcRM-nkJht5NwMQHg,"VIA NEGARVILLE 30/6, TORINO, Italia",45.0209608,7.611720500000001,2,10135,OK,street_address
94,ROOFTOP,"Piazzetta Jona Luciano, 4, 10135 Torino TO, Italy",ChIJCSCLtG0TiEcRFXw-ntIgJXA,"PIAZZETTA JONA, 4, TORINO, Italia",45.01974,7.61408,1,10135,OK,street_address
95,ROOFTOP,"Via Santhià, 25, 10154 Torino TO, Italy",ChIJz50-kY5tiEcRoSGvUzUrQds,"VIA SANTHIA, 25, TORINO, Italia",45.0909991,7.696663099999999,1,10154,OK,street_address
96,ROOFTOP,"Via dei Mille, 15, 10123 Torino TO, Italy",ChIJE8pd92ZtiEcRTo2uKzANmHY,"VIA DEI MILLE 15, TORINO, Italia",45.06243629999999,7.688244199999999,1,10123,OK,street_address
97,ROOFTOP,"Via Giulia di Barolo, 8, 10124 Torino TO, Italy",ChIJ8bSe62JtiEcRQ8Cm6c_ISqA,"VIA GIULIA DI BAROLO 8, TORINO, Italia",45.06694,7.69597,1,10124,OK,street_address
98,ROOFTOP,"Via Don Leonardo Murialdo, 9a, 10142 Torino TO, Italy",ChIJA-M_WZ1siEcR3Ipis-gs2zY,"VIA DON MURIALDO 9/A, TORINO, Italia",45.0732974,7.610288600000001,1,10142,OK,street_address
99,ROOFTOP,"Corso Francia, 377, 10142 Torino TO, Italy",ChIJz80OsmJriEcRZlzicNMyFiQ,"C.SO FRANCIA 377, TORINO, Italia",45.0739145,7.6094761,1,10142,OK,street_address
100,ROOFTOP,"Via Chambéry, 33, 10141 Torino TO, Italy",ChIJZcMvBJpsiEcRPrOFDi0iOBM,"VIA CHAMBERY 33, TORINO, Italia",45.069156,7.620199299999999,1,10141,OK,street_address
101,ROOFTOP,"Via Rismondo Francesco, 68, 10127 Torino TO, Italy",ChIJ5WPnZfASiEcRkq357NtpTuU,"VIA RISMONDO, 68, TORINO, Italia",45.01325,7.650659999999999,1,10127,OK,street_address
102,ROOFTOP,"Via Torrazza Piemonte, 10, 10127 Torino TO, Italy",ChIJhSVE1u0SiEcR_p1EnPpmweM,"VIA TORRAZZA PIEMONTE 10, TORINO, Italia",45.01665999999999,7.656239999999999,1,10127,OK,street_address
103,ROOFTOP,"Via Berruti e Ferrero, 3, 10135 Torino TO, Italy",ChIJh4GHOd8SiEcR2cSCPwMjKVs,"VIA BERRUTI E FERRERO, 3, TORINO, Italia",45.0288733,7.6444471,1,10135,OK,street_address
104,RANGE_INTERPOLATED,"Via Pianezza, 300, 10044 Pianezza TO, Italy",EixWaWEgUGlhbmV6emEsIDMwMCwgMTAwNDQgUGlhbmV6emEgVE8sIEl0YWxpYSIbEhkKFAoSCUMuEXlSaohHES4l8ydQNkWGEKwC,"VIA PIANEZZA 300, TORINO, Italia",45.0955546,7.569125799999999,1,10044,OK,street_address
105,ROOFTOP,"Corso Benedetto Croce, 26, 10135 Torino TO, Italy",ChIJNUXCXeESiEcRKvaQNBPylYA,"CORSO B. CROCE 26, TORINO, Italia",45.020516,7.6447388,1,10135,OK,street_address
106,ROOFTOP,"Via Piacenza, 16, 10135 Torino TO, Italy",ChIJBaLqpuYSiEcRKJkwfHe0D6g,"VIA PIACENZA 16, TORINO, Italia",45.0202391,7.6469094,1,10135,OK,street_address
107,ROOFTOP,"Via Cristoforo Colombo, 36, 10129 Torino TO, Italy",ChIJhSrVIiNtiEcR2ZHiOHXzf8Q,"VIA COLOMBO 36, TORINO, Italia",45.05852609999999,7.6604661,1,10129,OK,premise
108,ROOFTOP,"Corso Svizzera, 59, 10143 Torino TO, Italy",ChIJQb1fBVZsiEcRpii9MBqtsXw,"CORSO SVIZZERA 59/61, TORINO, Italia",45.0815496,7.650537,1,10143,OK,street_address
109,ROOFTOP,"Via Gassino, 13, 10132 Torino TO, Italy",ChIJs0rafpJyiEcRVc9Sb3XnaRU,"VIA GASSINO 13, TORINO, Italia",45.066772,7.7167621,1,10132,OK,street_address
110,ROOFTOP,"Via Beato Giuseppe Cafasso, 73, 10132 Torino TO, Italy",ChIJF3FakENyiEcRG_yo0SA6QnY,"VIA BEATO CAFASSO 73, TORINO, Italia",45.0878567,7.730312199999999,1,10132,OK,street_address
111,ROOFTOP,"Corso Bramante, 53, 10126 Torino TO, Italy",ChIJ57ngkEptiEcRp-n7qYwUDyo,"STRADA MONGRENO 53, TORINO, Italia",45.0434917,7.6697049,1,10126,OK,premise
112,ROOFTOP,"Via Cristoforo Colombo, 36, 10129 Torino TO, Italy",ChIJhSrVIiNtiEcR2ZHiOHXzf8Q,"VIA COLOMBO 36, TORINO, Italia",45.05852609999999,7.6604661,1,10129,OK,premise
113,ROOFTOP,"Via Gian Domenico Cassini, 98, 10129 Torino TO, Italy",ChIJZTd-5S9tiEcR2YtSaX5aZoQ,"VIA CASSINI 98, TORINO, Italia",45.0513249,7.6591871,1,10129,OK,street_address
114,ROOFTOP,"Via Massena, 39, 10128 Torino TO, Italy",ChIJuRyo6j9tiEcRacJWHu6cJck,"VIA MASSENA 39, TORINO, Italia",45.0591902,7.6716564,1,10128,OK,street_address
115,ROOFTOP,"Via Luigi Ambrosini, 1, 10151 Torino TO, Italy",ChIJ7fTGYD5siEcRoHDuNBIwyxU,"VIA AMBROSINI 1, TORINO, Italia",45.1036536,7.643127499999999,1,10151,OK,premise
116,ROOFTOP,"Via Luigi Ambrosini, 1, 10151 Torino TO, Italy",ChIJ7fTGYD5siEcRoHDuNBIwyxU,"VIA AMBROSINI 1, TORINO, Italia",45.1036536,7.643127499999999,1,10151,OK,premise
